px,py
-0.33912913999999716,0.0
-0.33912913999999716,0.00732422
-0.33912913999999716,0.00732422
-0.33902913999999384,0.0146484
-0.33902913999999384,0.0146484
-0.3386291399999948,0.0292969
-0.3386291399999948,0.0292969
-0.3380291399999962,0.04394530000000001
-0.3380291399999962,0.04394530000000001
-0.33722913999999804,0.0585938
-0.33732913999999425,0.0585938
-0.33492913999999985,0.08789060000000001
-0.33492913999999985,0.08789060000000001
-0.3341291399999946,0.0946347
-0.3341291399999946,0.0946303
-0.33332913999999647,0.102539
-0.33332913999999647,0.102539
-0.33152913999999356,0.11718800000000001
-0.33152913999999356,0.11718800000000001
-0.3294291399999949,0.13183599999999998
-0.3294291399999949,0.13183599999999998
-0.3271291399999967,0.146484
-0.3271291399999967,0.146484
-0.32452913999999566,0.161133
-0.32452913999999566,0.161133
-0.3217291399999951,0.175781
-0.3217291399999951,0.175781
-0.3195291400000002,0.186066
-0.3195291400000002,0.186111
-0.31862913999999876,0.19043
-0.31862913999999876,0.19043
-0.3152291399999996,0.205078
-0.3152291399999996,0.205078
-0.31162914000000086,0.219727
-0.31162914000000086,0.219727
-0.3077291399999993,0.234375
-0.3077291399999993,0.234375
-0.3048291399999954,0.244488
-0.3048291399999954,0.24447399999999997
-0.3036291399999982,0.249023
-0.3036291399999982,0.249023
-0.299129139999998,0.26367199999999996
-0.299129139999998,0.26367199999999996
-0.2944291399999983,0.27831999999999996
-0.294329139999995,0.27831999999999996
-0.2919291400000006,0.285645
-0.2919291400000006,0.285645
-0.2902291399999939,0.290439
-0.2902291399999939,0.290432
-0.28932913999999954,0.292969
-0.28932913999999954,0.292969
-0.2867291399999985,0.300293
-0.2867291399999985,0.300293
-0.28402913999999413,0.30761700000000003
-0.28402913999999413,0.30761700000000003
-0.28292914000000025,0.310539
-0.28292914000000025,0.31053800000000004
-0.2826291399999974,0.311279
-0.2826291399999974,0.311279
-0.28122913999999355,0.31494099999999997
-0.28122913999999355,0.31494099999999997
-0.281029139999994,0.315326
-0.281029139999994,0.315324
-0.28052913999999873,0.316772
-0.28052913999999873,0.316772
-0.2798291399999968,0.318604
-0.2798291399999968,0.318604
-0.2792291399999982,0.32002800000000003
-0.2792291399999982,0.32002600000000003
-0.2791291399999949,0.32043499999999997
-0.2791291399999949,0.32043499999999997
-0.27832913999999676,0.322266
-0.27832913999999676,0.322266
-0.27692914,0.325928
-0.27692914,0.325928
-0.2756291399999924,0.329187
