time,volume,x,y,z,u_x,u_y,u_z,omega_x,omega_y,omega_z,area
0.25242184,0.52223734,-3.614e-05,3.5621421,-1.374e-05,-0.00019859,0.48625718,-6.715e-05,-2.332e-05,-2.46e-06,2.378e-05,3.1368857
0.26020912,0.52223719,-3.772e-05,3.56597546,-1.429e-05,-0.0002,0.50011421,-7.92e-05,-2.479e-05,-4.13e-06,2.424e-05,3.13683445
0.26799639,0.5222368,-3.93e-05,3.56991606,-1.494e-05,-0.00022239,0.51377719,-6.669e-05,-2.462e-05,-5.18e-06,2.648e-05,3.13644471
0.27578366,0.52223677,-4.081e-05,3.57396318,-1.574e-05,-0.00018899,0.52726114,-0.00011838,-2.162e-05,1.81e-06,3.152e-05,3.13636062
0.28357093,0.52223678,-4.226e-05,3.57811496,-1.666e-05,-0.00017633,0.54066691,-0.00013214,-1.905e-05,1.7e-06,3.069e-05,3.1361087
0.29135821,0.52223695,-4.361e-05,3.58236947,-1.771e-05,-0.00016702,0.55383773,-0.00014312,-1.705e-05,5.1e-07,2.616e-05,3.13575106
0.29914548,0.5222371,-4.495e-05,3.5867277,-1.881e-05,-0.000172,0.56690272,-0.00014668,-1.48e-05,1.01e-06,2.425e-05,3.13614002
0.30693275,0.52223732,-4.628e-05,3.59118695,-1.999e-05,-0.00017236,0.57969592,-0.00015513,-1.632e-05,5.1e-07,2.205e-05,3.13599375
0.31472002,0.52223744,-4.755e-05,3.59574513,-2.118e-05,-0.00016096,0.59242757,-0.00015847,-1.725e-05,4.1e-07,1.825e-05,3.13597551
0.3225073,0.5222377,-4.879e-05,3.60040026,-2.237e-05,-0.00015691,0.60491312,-0.00015633,-1.824e-05,4.6e-07,1.559e-05,3.1363284
0.33029457,0.52223792,-5.003e-05,3.60515244,-2.358e-05,-0.00015317,0.61719651,-0.000157,-1.654e-05,1.12e-06,1.576e-05,3.13647301
0.33808184,0.52223811,-5.123e-05,3.60999954,-2.482e-05,-0.0001403,0.62909773,-0.00013862,-1.646e-05,1.23e-06,1.569e-05,3.13645083
